id,sport,original_sport,confidence,conf_gap
724659,Drugo,Tenis,0.8412,0.0001
676546,Tenis,Tenis,0.6135,0.0002
716755,Tenis,Tenis,0.9802,0.0002
673547,Tenis,Tenis,0.4472,0.0003
728222,Tenis,Tenis,0.8842,0.0004
721752,Tenis,Tenis,0.9367,0.0004
700447,Tenis,Tenis,0.9661,0.0005
672641,Tenis,Tenis,0.3172,0.0005
687285,Tenis,Tenis,0.879,0.0007
723999,Tenis,Tenis,0.955,0.0007
668398,Tenis,Tenis,0.8873,0.0009
668380,Tenis,Tenis,0.858,0.0011
676743,Tenis,Tenis,0.8766,0.0011
759395,Tenis,Tenis,0.7773,0.0012
718550,Tenis,Tenis,0.9449,0.0013
724712,Drugo,Tenis,0.9242,0.0013
724100,Tenis,Tenis,0.9228,0.0014
746876,Tenis,Tenis,0.2622,0.0014
770456,Tenis,Tenis,0.3051,0.0015
712915,Tenis,Tenis,0.9841,0.0016
776454,Tenis,Tenis,0.9145,0.0017
716259,Drugo,Tenis,0.8058,0.0017
740381,Drugo,Tenis,0.8773,0.0017
727455,Tenis,Tenis,0.9366,0.0017
725352,Tenis,Tenis,0.8574,0.0018
715997,Tenis,Tenis,0.966,0.0019
737235,Tenis,Tenis,0.9306,0.0021
750278,Tenis,Tenis,0.3325,0.0021
732792,Tenis,Tenis,0.8943,0.0021
682378,Tenis,Tenis,0.9503,0.0022
716956,Drugo,Tenis,0.9468,0.0022
687151,Tenis,Tenis,0.8884,0.0022
684960,Tenis,Tenis,0.7691,0.0023
721014,Tenis,Tenis,0.8562,0.0024
710328,Tenis,Tenis,0.8527,0.0024
694182,Tenis,Tenis,0.3949,0.0025
693411,Tenis,Tenis,0.9139,0.0025
700241,Tenis,Tenis,0.7182,0.0026
754438,Tenis,Tenis,0.8464,0.0027
673742,Tenis,Tenis,0.9434,0.003
687656,Tenis,Tenis,0.8571,0.0032
762437,Tenis,Tenis,0.9178,0.0035
727946,Tenis,Tenis,0.9577,0.0037
727266,Tenis,Tenis,0.8267,0.0037
708934,Tenis,Tenis,0.2462,0.0039
726689,Tenis,Tenis,0.9706,0.004
732161,Tenis,Tenis,0.8661,0.004
757421,Tenis,Tenis,0.5831,0.004
762266,Drugo,Tenis,0.6551,0.0042
705373,Drugo,Tenis,0.6812,0.0043
763839,Tenis,Tenis,0.9147,0.0043
717754,Tenis,Tenis,0.9244,0.0044
720506,Tenis,Tenis,0.7004,0.0045
705011,Tenis,Tenis,0.913,0.0046
771600,Tenis,Tenis,0.7202,0.0047
737398,Drugo,Tenis,0.5352,0.0048
750799,Tenis,Tenis,0.9599,0.0048
716875,Tenis,Tenis,0.8808,0.0049
717049,Drugo,Tenis,0.4488,0.005
725909,Tenis,Tenis,0.939,0.005
681287,Tenis,Tenis,0.908,0.0051
717437,Tenis,Tenis,0.8291,0.0051
681727,Tenis,Tenis,0.5119,0.0053
736670,Smučarski skoki,Smučarski skoki,0.5935,0.0001
736985,Smučarski skoki,Smučarski skoki,0.5158,0.0002
777524,Smučarski skoki,Smučarski skoki,0.7997,0.0002
697368,Smučarski skoki,Smučarski skoki,0.4872,0.0003
